,id1,left_preview,id2,right_preview,matchness,score,embedding_similarity,key_overlap_score,rarity_score,bin,bin_reason,source_blockers_display,corner,label
23,left_041963,"player_name: Neto | positions_position: DM, M (C) | left_right_foot: Right",right_039625,player_name: neto | positions_position: AMC | left_right_foot: right,0.89483643,0.763381968,,1,0.045454545,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
24,left_155602,player_name: Lewis Freestone | positions_position: D (LC) | left_right_foot: Left,right_039313,player_name: lewis freestone | positions_position: DC | left_right_foot: left,0.948622023,0.884399551,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
25,left_108960,player_name: Halil Yeral | positions_position: GK | left_right_foot: Right,right_041170,player_name: halil yeral | positions_position: GK | left_right_foot: right,0.994014216,0.986531987,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
26,left_170993,player_name: Bobby Duncan | positions_position: ST (C) | left_right_foot: Left,right_033260,player_name: bobby duncan | positions_position: ST | left_right_foot: left,0.984536725,0.965207632,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
27,left_093875,"player_name: Mattia Damiani | positions_position: DM, M (C) | left_right_foot: Right",right_053829,player_name: mattia damiani | positions_position: DM | left_right_foot: right,0.960759862,0.911709689,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
28,left_129938,player_name: Bruno Mendes | positions_position: ST (C) | left_right_foot: Right,right_013855,player_name: bruno mendes | positions_position: DC,0.812944257,0.579124579,,1,0.333333333,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
29,left_041485,player_name: Jean Carlos | positions_position: GK | left_right_foot: Right,right_003948,player_name: jean carlos | positions_position: AMC | left_right_foot: left,0.769397681,0.481144781,,1,0.1,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
30,left_173306,"player_name: Emmanuel Iroanya | positions_position: D (RC), WB (R), DM | left_right_foot: Right",right_035261,player_name: emmanuel iroanya | positions_position: DC | left_right_foot: right,0.982042649,0.95959596,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
31,left_078843,"player_name: Simone Lo Faso | positions_position: AM (LC), ST (C) | left_right_foot: Right",right_022927,player_name: simone lo faso | positions_position: ST | left_right_foot: both,0.93191171,0.846801347,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
32,left_182070,player_name: Max Bonalair | positions_position: D (C) | left_right_foot: Left,right_004143,player_name: max bonalair | positions_position: DC | left_right_foot: left,0.949120838,0.885521886,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
33,left_169593,player_name: Paulinho | positions_position: D/WB (R) | left_right_foot: Right,right_013839,player_name: paulinho | positions_position: AMR | left_right_foot: both,0.877171717,0.723636364,,1,0.015873016,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
34,left_040375,"player_name: Dudu | positions_position: DM, M (C) | left_right_foot: Right",right_037149,player_name: dudu | positions_position: DR | left_right_foot: right,0.824633163,0.605424617,,1,0.027027027,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
35,left_012953,"player_name: Anderson | positions_position: AM (RL), ST (C) | left_right_foot: Right",right_040101,player_name: anderson | positions_position: DR | left_right_foot: right,0.918681881,0.817034231,,1,0.037037037,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
36,left_168306,player_name: Matz Sels | positions_position: GK | left_right_foot: Right,right_005395,player_name: matz sels | positions_position: GK | left_right_foot: right,0.934156379,0.851851852,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
37,left_169165,"player_name: Thomas Mangani | positions_position: DM, M (C) | left_right_foot: Left",right_011577,player_name: thomas mangani | positions_position: MC | left_right_foot: left,0.971733799,0.936401048,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
38,left_010604,player_name: Marlon | positions_position: AM (RL) | left_right_foot: Right,right_044496,player_name: marlon | positions_position: AML | left_right_foot: left,0.899055458,0.77287478,,1,0.037037037,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
39,left_176277,"player_name: Javi Marcos | positions_position: D (C), DM | left_right_foot: Right",right_041123,player_name: javi marcos | positions_position: DC,0.918234194,0.816026936,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
40,left_074876,"player_name: Jani Atanasov | positions_position: DM, M/AM (C) | left_right_foot: Right",right_030312,player_name: jani atanasov | positions_position: DM | left_right_foot: right,0.98403791,0.964085297,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
41,left_034531,player_name: Romarinho | positions_position: D/WB/AM (L) | left_right_foot: Left,right_060608,player_name: romarinho | positions_position: AMC | left_right_foot: left,0.900583614,0.776313131,,1,0.066666667,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
42,left_093423,"player_name: Giacomo Ruggeri | positions_position: D (LC), WB (L) | left_right_foot: Right",right_053510,player_name: giacomo ruggeri | positions_position: DL | left_right_foot: left,0.941317941,0.867965368,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
43,left_007802,player_name: Luan | positions_position: ST (C) | left_right_foot: Right,right_059377,player_name: luan | positions_position: DM | left_right_foot: right,0.801271979,0.552861953,,1,0.03030303,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
44,left_176020,"player_name: Marcelo | positions_position: D (RL), WB (R) | left_right_foot: Right",right_038170,player_name: marcelo | positions_position: DL | left_right_foot: left,0.870436285,0.708481642,,1,0.04,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
45,left_075255,player_name: Lorenzo Gonnelli | positions_position: D (C) | left_right_foot: Right,right_010712,player_name: lorenzo gonnelli | positions_position: DC | left_right_foot: right,0.950617284,0.888888889,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
46,left_044547,"player_name: Malte Karbstein | positions_position: D (LC), DM | left_right_foot: Left",right_025938,player_name: malte karbstein | positions_position: DC | left_right_foot: left,0.98174336,0.958922559,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
47,left_040805,player_name: Danielzinho | positions_position: AM (RL) | left_right_foot: Right,right_027015,player_name: danielzinho | positions_position: MC | left_right_foot: right,0.82266403,0.600994068,,1,0.125,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
48,left_109762,"player_name: Vetle Dragsnes | positions_position: D (LC), WB (L) | left_right_foot: Left",right_025358,player_name: vetle dragsnes | positions_position: DL | left_right_foot: left,0.980973759,0.957190957,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
49,left_158891,"player_name: Danny Woodards | positions_position: D (RLC), WB (RL) | left_right_foot: Right",right_039764,player_name: danny woodards | positions_position: DR,0.919378975,0.818602694,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
50,left_014151,"player_name: Pedrinho | positions_position: M (L), AM (RL), ST (C) | left_right_foot: Left",right_040731,player_name: pedrinho | positions_position: AMC | left_right_foot: left,0.825178837,0.606652382,,1,0.028571429,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
51,left_105855,"player_name: Rayane Aabid | positions_position: DM, M (C) | left_right_foot: Right",right_036738,player_name: rayane aabid | positions_position: MC | left_right_foot: right,0.973230245,0.939768051,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
52,left_034050,player_name: Luis Guilherme | positions_position: ST (C) | left_right_foot: Right,right_069106,player_name: luis guilherme | positions_position: AMR | left_right_foot: left,0.769397681,0.481144781,,1,0.333333333,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
53,left_030656,player_name: Pedro Silva | positions_position: AM (RL) | left_right_foot: Left,right_022318,player_name: pedro silva | positions_position: DR | left_right_foot: right,0.836857464,0.632929293,,1,0.083333333,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
54,left_173252,player_name: Miguel | positions_position: GK | left_right_foot: Right,right_068817,player_name: miguel | positions_position: DM | left_right_foot: right,0.801271979,0.552861953,,1,0.090909091,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
55,left_175599,player_name: Mamadou Camara | positions_position: D (C) | left_right_foot: Right,right_063721,player_name: mamadou camara | positions_position: MC | left_right_foot: left,0.783314628,0.512457912,,1,0.125,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
56,left_140029,player_name: Scott Morris | positions_position: GK | left_right_foot: Right,right_059182,player_name: scott morris | positions_position: GK,0.820426487,0.595959596,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
57,left_028088,player_name: China | positions_position: D/WB (L) | left_right_foot: Left,right_025509,player_name: china | positions_position: DR,0.761720913,0.463872054,,1,0.166666667,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
58,left_097743,player_name: Danylo Krevsun | positions_position: M/AM (RL) | left_right_foot: Right,right_062554,player_name: danylo krevsun | positions_position: AMC | left_right_foot: right,0.969904809,0.932285821,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
59,left_041484,player_name: Wesley | positions_position: ST (C) | left_right_foot: Either,right_042491,player_name: wesley | positions_position: MC | left_right_foot: right,0.803466766,0.557800224,,1,0.034482759,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
60,left_040921,player_name: Wendel | positions_position: M (C) | left_right_foot: Either,right_049225,player_name: wendel | positions_position: ST | left_right_foot: right,0.824716299,0.605611672,,1,0.071428571,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
61,left_159591,player_name: Archie Matthews | positions_position: GK | left_right_foot: Right,right_055935,player_name: archie matthews | positions_position: GK | left_right_foot: right,0.994014216,0.986531987,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
62,left_130054,player_name: Mitch Nichols | positions_position: M/AM (C) | left_right_foot: Right,right_040795,player_name: mitch nichols | positions_position: AMC | left_right_foot: right,0.945552646,0.877493453,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
63,left_077729,"player_name: Vyacheslav Tankovskyi | positions_position: DM, M (C) | left_right_foot: Right",right_017540,player_name: vyacheslav tankovskyi | positions_position: MC | left_right_foot: right,0.973230245,0.939768051,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
64,left_034195,player_name: Henrique | positions_position: GK | left_right_foot: Right,right_069019,player_name: henrique | positions_position: GK | left_right_foot: right,0.970071081,0.932659933,,1,0.038461538,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
65,left_035215,player_name: Paulinho | positions_position: D/WB/M/AM (R) | left_right_foot: Right,right_009663,player_name: paulinho | positions_position: DL | left_right_foot: left,0.897776627,0.76999741,,1,0.015873016,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
66,left_169492,player_name: Gaspar | positions_position: M/AM (RL) | left_right_foot: Right,right_016497,player_name: gaspar | positions_position: ST,0.648434967,0.208978676,,1,0.166666667,CORNER,disagreement,StandardBlocker,FALSE,0
67,left_177729,player_name: Tito | positions_position: D (C) | left_right_foot: Right,right_060932,player_name: tito | positions_position: AML | left_right_foot: left,0.747399925,0.431649832,,1,0.083333333,CORNER,disagreement,StandardBlocker,TRUE,0
68,left_188839,player_name: Dani | positions_position: D (RL) | left_right_foot: Right,right_041553,player_name: dani | positions_position: GK,0.744032922,0.424074074,,1,0.083333333,CORNER,disagreement,StandardBlocker,FALSE,0
69,left_040447,player_name: Matheus Rodrigues | positions_position: ST (C) | left_right_foot: Right,right_006297,player_name: matheus rodrigues | positions_position: MC,0.672876917,0.263973064,,1,0.5,CORNER,disagreement,StandardBlocker,TRUE,0
70,left_171683,"player_name: Javi Moreno | positions_position: DM, M (LC) | left_right_foot: Right",right_051054,player_name: javi moreno | positions_position: DC,0.674822297,0.268350168,,1,0.142857143,CORNER,disagreement,StandardBlocker,TRUE,0
71,left_019717,player_name: Eduardo | positions_position: GK | left_right_foot: Right,right_052164,player_name: eduardo | positions_position: ST | left_right_foot: both,0.74495573,0.426150393,,1,0.03125,CORNER,disagreement,StandardBlocker,FALSE,0
72,left_123876,"player_name: Mamadou Diop | positions_position: DM, M (C) | left_right_foot: Right",right_064261,player_name: mamadou diop | positions_position: GK | left_right_foot: right,0.687342561,0.296520763,,1,0.333333333,CORNER,disagreement,StandardBlocker,FALSE,0
73,left_037744,player_name: Raiff | positions_position: D (C) | left_right_foot: Right,right_000467,player_name: raiff | positions_position: ST,0.7403367,0.415757576,,1,0.5,CORNER,disagreement,StandardBlocker,TRUE,0
74,left_169508,player_name: Alexandre Mendy | positions_position: ST (C) | left_right_foot: Right,right_017206,player_name: alexandre mendy | positions_position: DR,0.692430478,0.307968575,,1,0.333333333,CORNER,disagreement,StandardBlocker,FALSE,0
75,left_073578,"player_name: Lorenzo Pellegrini | positions_position: DM, M/AM (C) | left_right_foot: Right",right_065928,player_name: lorenzo pellegrini | positions_position: MC | left_right_foot: right,0.731811947,0.39657688,,1,0.25,CORNER,disagreement,StandardBlocker,TRUE,1
76,left_001815,player_name: Rafael | positions_position: GK | left_right_foot: Left,right_067353,player_name: rafael | positions_position: AMC,0.648434967,0.208978676,,1,0.055555556,CORNER,disagreement,StandardBlocker,FALSE,0
77,left_168275,player_name: Vitinha | positions_position: ST (C) | left_right_foot: Right,right_020866,player_name: vitinha | positions_position: AML | left_right_foot: left,0.74495573,0.426150393,,1,0.083333333,CORNER,disagreement,StandardBlocker,FALSE,0
78,left_018950,player_name: Danilo | positions_position: D/WB (R) | left_right_foot: Right,right_026975,player_name: danilo | positions_position: GK,0.723257264,0.377328844,,1,0.04,CORNER,disagreement,StandardBlocker,FALSE,0
79,left_170327,player_name: Patrick | positions_position: ST (C) | left_right_foot: Right,right_003662,player_name: patrick | positions_position: DM | left_right_foot: left,0.747399925,0.431649832,,1,0.037037037,CORNER,disagreement,StandardBlocker,FALSE,0
80,left_133368,player_name: Beto | positions_position: ST (C) | left_right_foot: Right,right_019278,player_name: beto | positions_position: MR,0.692430478,0.307968575,,1,0.083333333,CORNER,disagreement,StandardBlocker,FALSE,0
81,left_023426,player_name: Denilson | positions_position: D (C) | left_right_foot: Right,right_068680,player_name: denilson | positions_position: AML | left_right_foot: left,0.74495573,0.426150393,,1,0.076923077,CORNER,disagreement,StandardBlocker,TRUE,0
82,left_172337,player_name: Paulinho | positions_position: AM (C) | left_right_foot: Right,right_003667,player_name: paulinho | positions_position: DL | left_right_foot: left,0.74495573,0.426150393,,1,0.015873016,CORNER,disagreement,StandardBlocker,FALSE,0
83,left_008073,"player_name: Bruno Silva | positions_position: AM (L), ST (C) | left_right_foot: Right",right_048106,player_name: bruno silva | positions_position: ST | left_right_foot: both,0.74495573,0.426150393,,1,0.055555556,CORNER,disagreement,StandardBlocker,TRUE,0
84,left_186489,"player_name: Rodri | positions_position: DM, M (C) | left_right_foot: Right",right_029200,player_name: rodri | positions_position: MC,0.672544374,0.263224841,,1,0.055555556,CORNER,disagreement,StandardBlocker,TRUE,1
85,left_036836,player_name: Kyle Wilson | positions_position: D (LC) | left_right_foot: Left,right_063218,player_name: kyle wilson | positions_position: ST,0.744032922,0.424074074,,1,0.333333333,CORNER,disagreement,StandardBlocker,FALSE,0
86,left_100646,player_name: Lucas Lopez | positions_position: GK | left_right_foot: Right,right_056280,player_name: lucas lopez | positions_position: MR | left_right_foot: left,0.74495573,0.426150393,,1,0.333333333,CORNER,disagreement,StandardBlocker,TRUE,0
87,left_158558,player_name: Craig Moore | positions_position: ST (C) | left_right_foot: Right,right_003033,player_name: craig moore | positions_position: DC,0.687542088,0.296969697,,1,0.25,CORNER,disagreement,StandardBlocker,FALSE,0
88,left_042107,player_name: Julio Delgado | positions_position: GK | left_right_foot: Right,right_026830,player_name: julio delgado | positions_position: AML | left_right_foot: left,0.747399925,0.431649832,,1,0.333333333,CORNER,disagreement,StandardBlocker,FALSE,0
89,left_103467,player_name: Lorenzo Trinceri | positions_position: ST (C) | left_right_foot: Right,right_063677,player_name: lorenzo trinceri | positions_position: AMR,0.555555556,0,,1,0.5,CORNER,uncertainty,StandardBlocker,TRUE,0
90,left_115326,"player_name: Emmanuel Yeboah | positions_position: DM, M (C) | left_right_foot: Left",right_000362,player_name: emmanuel yeboah | positions_position: ST | left_right_foot: right,0.769397681,0.481144781,,1,0.333333333,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
91,left_083058,"player_name: Ismail Achik | positions_position: AM (R), ST (C) | left_right_foot: Right",right_046642,player_name: ismail achik | positions_position: AMR | left_right_foot: right,0.96066485,0.911495911,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
92,left_106393,player_name: Caner Cavlan | positions_position: D/WB/M (L) | left_right_foot: Left,right_004928,player_name: caner cavlan | positions_position: DL | left_right_foot: left,0.971567527,0.936026936,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
93,left_010604,player_name: Marlon | positions_position: AM (RL) | left_right_foot: Right,right_033702,player_name: marlon | positions_position: DL | left_right_foot: left,0.884870932,0.740959596,,1,0.037037037,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
94,left_010840,player_name: Vinicius | positions_position: D (RC) | left_right_foot: Right,right_025964,player_name: vinicius | positions_position: GK | left_right_foot: right,0.842334456,0.645252525,,1,0.038461538,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
95,left_179964,player_name: Elton Boketsu | positions_position: AM (RL) | left_right_foot: Right,right_013551,player_name: elton boketsu | positions_position: AMR,0.939466624,0.863799904,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
96,left_044035,"player_name: Hans Mulder | positions_position: DM, M (RLC) | left_right_foot: Right",right_039069,player_name: hans mulder | positions_position: DC | left_right_foot: right,0.972927933,0.939087848,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
97,left_041953,"player_name: Lucas Silva | positions_position: DM, M (C) | left_right_foot: Right",right_029271,player_name: lucas silva | positions_position: AML | left_right_foot: left,0.852606726,0.668365133,,1,0.055555556,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
98,left_068017,"player_name: Toni | positions_position: AM (L), ST (C) | left_right_foot: Left",right_008734,player_name: toni | positions_position: DR | left_right_foot: right,0.836857464,0.632929293,,1,0.166666667,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
99,left_156073,player_name: Nathan Blissett | positions_position: ST (C) | left_right_foot: Right,right_020195,player_name: nathan blissett | positions_position: ST | left_right_foot: right,0.986033171,0.968574635,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
100,left_059714,player_name: Francesco Russo | positions_position: GK | left_right_foot: Right,right_033096,player_name: francesco russo | positions_position: ST,0.702207258,0.32996633,,1,0.125,CORNER,disagreement,StandardBlocker,TRUE,0
101,left_164397,player_name: Danny Edwards | positions_position: M/AM (R) | left_right_foot: Right,right_060776,player_name: danny edwards | positions_position: MC | left_right_foot: right,0.861503928,0.688383838,,1,0.333333333,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
102,left_155051,"player_name: Danny Rose | positions_position: DM, M (C) | left_right_foot: Left",right_011199,player_name: danny rose | positions_position: ST | left_right_foot: right,0.888335204,0.748754209,,1,0.166666667,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
103,left_182129,player_name: Aldo Perrini | positions_position: M/AM (C) | left_right_foot: Left,right_055281,player_name: aldo perrini | positions_position: MC | left_right_foot: left,0.837261504,0.633838384,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
104,left_187721,player_name: Ricardo Oliveira | positions_position: AM (RL) | left_right_foot: Left,right_009768,player_name: ricardo oliveira | positions_position: ST | left_right_foot: right,0.769397681,0.481144781,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
105,left_043224,player_name: Janni Serra | positions_position: ST (C) | left_right_foot: Left,right_027196,player_name: janni serra | positions_position: ST | left_right_foot: left,0.970849233,0.934410774,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
106,left_016603,"player_name: Juninho | positions_position: M (L), AM (RLC) | left_right_foot: Left",right_042302,player_name: juninho | positions_position: GK | left_right_foot: right,0.841257015,0.642828283,,1,0.02173913,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
107,left_169219,"player_name: Kiki | positions_position: D (LC), WB (L) | left_right_foot: Left",right_019351,player_name: kiki | positions_position: DL | left_right_foot: left,0.980973759,0.957190957,,1,0.25,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
108,left_001769,"player_name: Jefferson Intriago | positions_position: DM, M (C) | left_right_foot: Either",right_028249,player_name: jefferson intriago | positions_position: DM | left_right_foot: right,0.948289479,0.883651328,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
109,left_114041,player_name: Erik Figueroa | positions_position: D (LC) | left_right_foot: Left,right_007038,player_name: erik figueroa | positions_position: DL | left_right_foot: left,0.983539095,0.962962963,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
110,left_106847,player_name: Bart Schenkeveld | positions_position: D (C) | left_right_foot: Right,right_006949,player_name: bart schenkeveld | positions_position: DC | left_right_foot: right,0.974560419,0.942760943,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
111,left_074936,player_name: Anton Zinkovskiy | positions_position: M/AM (L) | left_right_foot: Right,right_018765,player_name: anton zinkovskiy | positions_position: AML | left_right_foot: right,0.970320489,0.9332211,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
112,left_052360,"player_name: Phil Halbauer | positions_position: D/WB (L), AM (RL) | left_right_foot: Left",right_028358,player_name: phil halbauer | positions_position: AML | left_right_foot: left,0.944514132,0.875156797,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
113,left_040970,player_name: Paulinho | positions_position: DM | left_right_foot: Right,right_039438,player_name: paulinho | positions_position: AMC,0.696645467,0.317452301,,1,0.015873016,CORNER,disagreement,StandardBlocker,TRUE,0
114,left_119065,player_name: Lucas Lima | positions_position: ST (C) | left_right_foot: Right,right_014394,player_name: lucas lima | positions_position: DL | left_right_foot: left,0.780321736,0.505723906,,1,0.111111111,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
