Player,Nation,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,PK,Tkl_Tackles,TklW_Tackles,G_per_Sh_Standard,Cmp_percent_Total,Save_percent,CS_Percent,Save_percent_Penalty
Abdulai Juma Bah,SLE,['Nice'],['DF'],5,450.0,0,0,0,6,4,0.0,93.59,0.0,0.0,0.0
Abdulrazaq Ishaq,NGA,['Anderlecht'],"['DF,MF']",3,136.0,0,0,0,5,2,0.0,81.36,0.0,0.0,0.0
Abdurrahman Burak Sayın,0,['Fortuna Sittard'],['FW'],1,4.0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0
Abdón Prats,ESP,['Mallorca'],"['FW,MF', 'FW']",63,1744.0,7,2,0,7,4,0.18,57.86,0.0,0.0,0.0
Abel Bretones,ESP,['Osasuna'],"['DF,MF']",6,539.0,1,0,0,13,7,0.33,69.9,0.0,0.0,0.0
Abel Hernández,URU,['Atlético'],['FW'],17,1267.0,8,0,2,8,3,0.23,69.59,0.0,0.0,0.0
Abel Ruiz,ESP,['Braga'],"['FW,MF', 'FW']",64,3969.0,14,8,0,21,13,0.15,78.42,0.0,0.0,0.0
Ablie Jallow,GAM,['Metz'],"['MF,FW']",17,918.0,3,2,1,8,5,0.18,77.99,0.0,0.0,0.0
Abner,BRA,"['Lyon', 'Betis', 'RWDM']","['DF,MF', 'DF']",65,4180.0,0,1,0,67,46,0.0,75.72,0.0,0.0,0.0
Abou Lô,SEN,['Metz'],"['MF,DF']",6,197.0,0,0,0,3,1,0.0,87.84,0.0,0.0,0.0
Abou-Malal Ba,FRA,['Seraing'],['MF'],9,661.0,0,0,0,9,4,0.0,77.64,0.0,0.0,0.0
Aboubacar Ali,COM,['Strasbourg'],"['MF,FW']",9,130.0,0,1,0,2,0,0.0,64.71,0.0,0.0,0.0
Aboubaka Soumahoro,FRA,['Hamburger SV'],['DF'],1,45.0,0,0,0,1,0,0.0,90.0,0.0,0.0,0.0
Aboubakary Koita,MTN,['Sint-Truiden'],"['MF,FW', 'DF,MF']",57,3632.0,14,4,3,71,46,0.09,76.17,0.0,0.0,0.0
Abraham Bass,MEX,['Atlas'],"['MF,FW', 'MF']",13,481.0,0,0,0,13,10,0.0,77.22,0.0,0.0,0.0
Abraham Flores,MEX,['Tijuana'],['DF'],4,162.0,0,0,0,3,2,0.0,58.9,0.0,0.0,0.0
Abraham Marcus,NGA,['Porto'],['FW'],1,1.0,0,0,0,0,0,0.0,66.67,0.0,0.0,0.0
Abraham Villegas,0,['Toluca'],['DF'],6,329.0,1,0,0,19,13,0.33,80.54,0.0,0.0,0.0
Abu Kamara,ENG,['Getafe'],"['FW,MF']",3,113.0,0,0,0,2,1,0.0,52.0,0.0,0.0,0.0
Achraf Dari,MAR,"['Charleroi', 'Brest']","['DF', 'DF,FW']",27,1755.0,2,0,0,27,19,0.22,77.77,0.0,0.0,0.0
Achraf Douiri,NED,['Volendam'],"['DF,FW']",20,726.0,0,2,0,36,22,0.0,68.95,0.0,0.0,0.0
Achraf Hakimi,MAR,['Paris S-G'],"['DF,MF', 'DF']",59,4430.0,9,8,0,93,61,0.14,87.9,0.0,0.0,0.0
Adalberto Carrasquilla,PAN,['UNAM'],['MF'],15,1010.0,1,1,1,8,7,0.06,78.11,0.0,0.0,0.0
Adam Armstrong,ENG,['Southampton'],"['FW,MF']",30,1335.0,2,1,0,14,9,0.08,72.85,0.0,0.0,0.0
Adam Buksa,POL,"['Udinese', 'Lens']","['FW,MF', 'FW']",11,204.0,0,0,0,3,1,0.0,57.78,0.0,0.0,0.0
Adam Daghim,DEN,['Wolfsburg'],"['FW,MF']",3,92.0,0,0,0,4,3,0.0,67.57,0.0,0.0,0.0
Adam Dźwigała,POL,['St. Pauli'],['DF'],5,335.0,1,0,0,9,8,1.0,84.76,0.0,0.0,0.0
Adam Forshaw,ENG,['Leeds United'],['MF'],12,479.0,0,0,0,12,9,0.0,80.33,0.0,0.0,0.0
Adam Hložek,CZE,['Leverkusen'],"['MF,FW', 'FW,MF']",52,1745.0,7,6,0,19,8,0.15,75.21,0.0,0.0,0.0
Adam Karabec,CZE,['Lyon'],['FW'],6,336.0,1,0,0,1,1,0.2,76.23,0.0,0.0,0.0
Adam Kayed,PLE,['NAC Breda'],"['MF,DF']",16,466.0,1,0,0,18,10,0.12,75.69,0.0,0.0,0.0
Adam Kölle,GER,['Heidenheim'],"['DF,MF']",2,29.0,1,0,0,1,1,1.0,40.0,0.0,0.0,0.0
Adam Lallana,ENG,['Brighton'],"['MF,FW']",41,1572.0,2,2,0,17,7,0.11,86.32,0.0,0.0,0.0
Adam Marušić,MNE,['Lazio'],['DF'],75,6186.0,1,3,0,89,64,0.04,84.4,0.0,0.0,0.0
Adam Masina,MAR,"['Udinese', 'Torino']",['DF'],35,1967.0,2,0,0,34,20,0.25,82.4,0.0,0.0,0.0
Adam Nhaili,BEL,['Sint-Truiden'],"['FW,MF']",8,204.0,0,1,0,2,1,0.0,84.09,0.0,0.0,0.0
Adam Obert,SVK,['Cagliari'],['DF'],22,1361.0,0,0,0,29,15,0.0,79.48,0.0,0.0,0.0
Adam Ounas,ALG,"['Napoli', 'Lille']","['FW,MF', 'FW']",40,1497.0,2,1,0,24,14,0.06,71.03,0.0,0.0,0.0
Adam Smith,ENG,['Bournemouth'],['DF'],68,5297.0,0,3,0,87,52,0.0,75.93,0.0,0.0,0.0
Adam Webster,ENG,['Brighton'],['DF'],42,3129.0,0,0,0,36,24,0.0,89.33,0.0,0.0,0.0
Adam Wharton,ENG,['Crystal Palace'],['MF'],21,1658.0,0,3,0,51,35,0.0,77.93,0.0,0.0,0.0
Adama Boiro,ESP,['Athletic Club'],['DF'],1,45.0,0,0,0,1,0,0.0,91.11,0.0,0.0,0.0
Adama Bojang,GAM,['Reims'],['FW'],9,83.0,0,0,0,2,1,0.0,62.96,0.0,0.0,0.0
Adama Camara,FRA,['Paris FC'],['MF'],6,400.0,0,0,0,14,9,0.0,85.8,0.0,0.0,0.0
Adama Soumaoro,FRA,['Bologna'],['DF'],23,1867.0,0,0,0,25,17,0.0,92.65,0.0,0.0,0.0
Adama Traoré,ESP,"['Fulham', 'Wolves']","['FW,MF', 'FW']",56,2021.0,4,4,0,18,10,0.13,66.81,0.0,0.0,0.0
Adamo Nagalo,BFA,['PSV Eindhoven'],['DF'],6,168.0,0,0,0,5,3,0.0,95.24,0.0,0.0,0.0
Adel Mahamoud,COM,['Nantes'],['FW'],1,10.0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0
Adem Zorgane,ALG,['Charleroi'],['MF'],85,7305.0,7,16,0,202,127,0.08,80.15,0.0,0.0,0.0
Ademola Lookman,NGA,['Atalanta'],"['FW,MF', 'MF']",63,3627.0,24,13,3,33,20,0.21,75.82,0.0,0.0,0.0
Aderlan Santos,BRA,"['Rio Ave', 'AVS Futebol']",['DF'],92,7846.0,4,0,0,165,104,0.07,86.1,0.0,0.0,0.0
Adewele Sapara,NGA,['Portimonense'],"['FW,MF']",5,117.0,0,0,0,5,4,0.0,82.05,0.0,0.0,0.0
Adi Nalic,BIH,['Almere City'],"['MF,FW', 'FW,MF']",29,908.0,2,0,0,11,9,0.1,66.44,0.0,0.0,0.0
Adil Aouchiche,FRA,['Lorient'],['MF'],11,250.0,0,0,0,5,2,0.0,74.68,0.0,0.0,0.0
Adil Auassar,NED,"[""Sparta R'dam""]",['DF'],29,1918.0,0,0,0,34,23,0.0,85.45,0.0,0.0,0.0
Adil Rami,FRA,['Troyes'],['DF'],20,1596.0,0,1,0,19,14,0.0,84.13,0.0,0.0,0.0
Adnan Januzaj,BEL,['Sevilla'],"['FW,MF', 'FW']",14,352.0,0,0,0,5,4,0.0,75.6,0.0,0.0,0.0
Ado Onaiwu,JPN,['Toulouse'],['FW'],34,1082.0,2,1,0,11,6,0.11,74.78,0.0,0.0,0.0
Adolfo Gaich,ARG,['Hellas Verona'],['FW'],16,726.0,2,0,0,5,3,0.08,56.97,0.0,0.0,0.0
Adonis Frías,ARG,['León'],"['DF,MF', 'DF']",58,4616.0,1,3,1,86,53,0.02,84.75,0.0,0.0,0.0
Adonis Preciado,ECU,['Querétaro'],"['FW,MF']",15,1232.0,4,1,0,20,12,0.22,65.52,0.0,0.0,0.0
Adri Bosch,ESP,['Granada'],['DF'],1,26.0,0,0,0,1,1,0.0,78.57,0.0,0.0,0.0
Adri Embarba,ESP,"['Espanyol', 'Almería']","['FW,MF', 'FW']",66,3983.0,7,5,2,106,64,0.06,64.99,0.0,0.0,0.0
Adrian Bajrami,ALB,['Benfica'],['DF'],1,12.0,0,0,0,0,0,0.0,66.67,0.0,0.0,0.0
Adrian Beck,GER,['Heidenheim'],"['MF,FW']",28,1115.0,1,1,0,24,15,0.08,73.84,0.0,0.0,0.0
Adrian Benedyczak,POL,['Parma'],"['MF,DF']",2,44.0,0,0,0,2,2,0.0,36.36,0.0,0.0,0.0
Adrian Bernabe,ESP,['Parma'],['MF'],5,421.0,0,0,0,9,5,0.0,82.96,0.0,0.0,0.0
Adrian Blake,ENG,['Utrecht'],"['FW,MF']",22,498.0,4,3,0,15,7,0.22,73.71,0.0,0.0,0.0
Adrian Fein,GER,['Excelsior'],['MF'],14,728.0,0,0,0,14,5,0.0,80.82,0.0,0.0,0.0
Adrian Grbić,AUT,['Lorient'],"['MF,FW', 'FW']",3,56.0,0,0,0,0,0,0.0,53.33,0.0,0.0,0.0
Adrian Mazilu,ROU,['Vitesse'],['FW'],3,24.0,0,0,0,1,0,0.0,100.0,0.0,0.0,0.0
Adrian Šemper,CRO,['Pisa'],['GK'],5,450.0,0,0,0,0,0,0.0,64.29,72.73,20.0,0.0
Adriano,BRA,['Santa Clara'],"['MF', 'MF,DF']",63,4835.0,1,3,0,88,49,0.05,82.7,0.0,0.0,0.0
Adriano Bertaccini,BEL,['Sint-Truiden'],"['MF,FW', 'FW,MF']",30,2260.0,16,1,2,18,10,0.19,70.83,0.0,0.0,0.0
Adrien Bongiovanni,BEL,['Charleroi'],['MF'],1,1.0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0
Adrien Hunou,FRA,['Angers'],"['MF,FW']",34,2234.0,4,1,0,39,20,0.09,75.96,0.0,0.0,0.0
Adrien Lebeau,FRA,['Brest'],"['MF,FW']",7,54.0,0,1,0,0,0,0.0,65.52,0.0,0.0,0.0
Adrien Rabiot,FRA,"['Marseille', 'Juventus', 'Milan']",['MF'],67,5759.0,13,8,0,129,78,0.14,82.15,0.0,0.0,0.0
Adrien Silva,POR,['Rio Ave'],['MF'],10,338.0,0,0,0,13,4,0.0,76.02,0.0,0.0,0.0
Adrien Tameze,CMR,"['Hellas Verona', 'Torino']","['MF,DF', 'MF', 'DF,MF']",71,5296.0,0,2,0,88,47,0.0,81.89,0.0,0.0,0.0
Adrien Thomasson,FRA,"['Strasbourg', 'Lens']","['MF,FW', 'MF']",70,3948.0,7,9,0,83,46,0.09,77.61,0.0,0.0,0.0
Adrien Trebel,FRA,"['Charleroi', 'Anderlecht']","['MF', 'MF,DF']",16,679.0,0,2,0,25,10,0.0,77.31,0.0,0.0,0.0
Adrien Truffert,FRA,"['Rennes', 'Bournemouth']",['DF'],65,4729.0,1,9,0,115,59,0.03,79.09,0.0,0.0,0.0
Adrià Altimira,ESP,['Villarreal'],"['DF,MF']",11,775.0,0,0,0,16,7,0.0,83.66,0.0,0.0,0.0
Adrià Pedrosa,ESP,"['Elche', 'Espanyol', 'Sevilla']","['DF,MF', 'DF']",42,2169.0,2,4,0,55,28,0.11,73.51,0.0,0.0,0.0
Adrián Aldrete,MEX,['UNAM'],['DF'],47,3178.0,1,3,0,43,30,0.08,73.0,0.0,0.0,0.0
Adrián Butzke,ESP,"['Nacional', 'Paços de Ferreira', 'Vitória']",['FW'],53,2188.0,6,2,1,16,11,0.08,67.96,0.0,0.0,0.0
Adrián Liso,ESP,['Getafe'],['FW'],5,425.0,3,0,0,5,5,0.38,74.07,0.0,0.0,0.0
Adrián Marín,ESP,"['Gil Vicente FC', 'Braga']",['DF'],49,3603.0,0,2,0,88,47,0.0,75.22,0.0,0.0,0.0
Adrián Mora,MEX,"['FC Juárez', 'Atlas', 'Toluca']",['DF'],26,1242.0,0,1,0,36,25,0.0,79.64,0.0,0.0,0.0
Adrián de la Fuente,ESP,['Levante'],['DF'],6,475.0,0,0,0,8,5,0.0,72.64,0.0,0.0,0.0
Adryelson,BRA,"['Lyon', 'Anderlecht']","['DF', 'DF,FW']",9,548.0,1,0,0,7,4,0.2,86.25,0.0,0.0,0.0
Adson,BRA,['Nantes'],"['MF,FW']",8,238.0,0,0,0,7,6,0.0,88.46,0.0,0.0,0.0
Adu Ares,ESP,['Athletic Club'],"['FW,MF', 'FW']",20,349.0,0,0,0,12,6,0.0,78.06,0.0,0.0,0.0
Afonso Assis,POR,['Moreirense'],['MF'],1,14.0,0,0,0,0,0,0.0,75.0,0.0,0.0,0.0
Afonso Freitas,POR,"['Nacional', 'Vitória']","['DF,MF', 'DF']",40,2675.0,1,2,0,44,30,0.08,70.81,0.0,0.0,0.0
Afonso Moreira,POR,"['Gil Vicente FC', 'Lyon', 'Sporting CP']","['FW,DF', 'MF', 'FW']",10,110.0,0,0,0,5,5,0.0,70.0,0.0,0.0,0.0
Afonso Patrão,POR,['Braga'],['FW'],7,243.0,1,1,0,2,0,0.33,73.91,0.0,0.0,0.0
Afonso Rodrigues,POR,['Famalicão'],"['MF,FW', 'FW,MF']",11,245.0,1,0,0,4,0,0.1,54.35,0.0,0.0,0.0
Afonso Taira,POR,['Casa Pia'],['MF'],32,2095.0,0,1,0,94,55,0.0,74.48,0.0,0.0,0.0
Agustín Marchesín,ARG,['Celta Vigo'],['GK'],19,1710.0,0,0,0,0,0,0.0,70.71,58.33,31.58,50.0
Agustín Martegani,ARG,['Salernitana'],['MF'],18,731.0,1,0,0,13,7,0.07,83.5,0.0,0.0,0.0
Agustín Oliveros,URU,['Necaxa'],['DF'],83,7045.0,3,3,0,98,68,0.06,73.29,0.0,0.0,0.0
Agustín Palavecino,ARG,['Necaxa'],['MF'],34,2948.0,7,6,0,84,60,0.06,76.79,0.0,0.0,0.0
Agustín Rogel,URU,['Hertha BSC'],['DF'],20,1426.0,0,1,0,18,9,0.0,74.48,0.0,0.0,0.0
Agustín Urzi,ARG,['FC Juárez'],"['MF,FW']",22,819.0,1,1,0,23,13,0.06,68.73,0.0,0.0,0.0
Agustín Álvarez,URU,['Sassuolo'],"['FW,MF']",22,368.0,1,1,0,6,3,0.07,80.95,0.0,0.0,0.0
Ahmed Abdullahi,NGA,['Gent'],"['MF', 'FW']",2,30.0,0,0,0,1,0,0.0,75.0,0.0,0.0,0.0
Ahmed El Messaoudi,MAR,['Emmen'],"['MF,FW']",25,1408.0,2,0,0,23,14,0.07,81.1,0.0,0.0,0.0
Ahmed Touba,ALG,"['Mechelen', 'Lecce']",['DF'],29,2273.0,2,0,0,45,29,0.17,88.45,0.0,0.0,0.0
Ahmetcan Kaplan,TUR,['Ajax'],['DF'],19,1506.0,0,1,0,35,20,0.0,90.14,0.0,0.0,0.0
Aiden O'Neill,AUS,['Standard Liège'],['MF'],48,3668.0,1,1,0,106,65,0.04,81.39,0.0,0.0,0.0
Aiham Ousou,SYR,"['Charleroi', 'Cádiz']",['DF'],32,2450.0,0,0,0,42,27,0.0,85.45,0.0,0.0,0.0
Aihen Muñoz,ESP,['Real Sociedad'],['DF'],49,3159.0,0,3,0,87,53,0.0,74.19,0.0,0.0,0.0
Aiman Dardari,LUX,['Augsburg'],['MF'],1,7.0,0,0,0,0,0,0.0,66.67,0.0,0.0,0.0
Aimar Oroz,ESP,['Osasuna'],"['MF,FW', 'FW,MF', 'MF']",68,4665.0,5,7,2,77,46,0.1,80.41,0.0,0.0,0.0
Aimar Sher,IRQ,['Groningen'],"['MF,FW']",6,134.0,0,0,0,4,2,0.0,73.58,0.0,0.0,0.0
Aimé Omgba,NED,['Gent'],"['MF,FW']",3,54.0,1,0,0,2,2,0.5,86.11,0.0,0.0,0.0
Aingeru Olabarrieta,ESP,['Athletic Club'],['FW'],1,9.0,0,0,0,0,0,0.0,40.0,0.0,0.0,0.0
Ainsley Maitland-Niles,ENG,"['Southampton', 'Lyon']","['DF,MF', 'DF,FW']",51,3379.0,1,6,1,92,53,0.05,82.03,0.0,0.0,0.0
Aitor Fernández,ESP,['Osasuna'],['GK'],28,2441.0,0,0,0,1,1,0.0,65.09,72.16,32.14,0.0
Aitor García,ESP,['FC Juárez'],"['FW,MF']",45,2775.0,9,2,0,33,21,0.08,70.87,0.0,0.0,0.0
Aitor Paredes,ESP,['Athletic Club'],['DF'],56,4103.0,2,0,0,36,22,0.08,86.7,0.0,0.0,0.0
Aitor Ruibal,ESP,['Betis'],"['FW', 'DF,FW']",48,2718.0,3,1,0,97,59,0.09,76.8,0.0,0.0,0.0
Ajdin Hrustic,AUS,"['Hellas Verona', 'Heracles Almelo']","['MF,FW', 'MF']",20,1391.0,1,0,0,17,11,0.04,78.95,0.0,0.0,0.0
Akim Zedadka,ALG,"['Auxerre', 'Lille']","['DF,MF', 'DF']",28,1953.0,1,0,0,36,22,0.08,78.36,0.0,0.0,0.0
Akor Adams,NGA,"['Montpellier', 'Sevilla']",['FW'],37,2560.0,9,2,0,14,5,0.1,63.84,0.0,0.0,0.0
Alaa Bellaarouch,MAR,['Strasbourg'],['GK'],15,1350.0,0,0,0,0,0,0.0,69.84,58.73,13.33,25.0
Aladji Bamba,FRA,['Monaco'],['MF'],4,124.0,0,0,0,8,5,0.0,92.31,0.0,0.0,0.0
Alam Galindo,MEX,['Tijuana'],['FW'],1,8.0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0
Alan,BRA,['Moreirense'],['MF'],64,4967.0,10,10,5,72,44,0.12,79.11,0.0,0.0,0.0
Alan Cervantes,MEX,"['Santos', 'América']",['MF'],88,6218.0,1,2,0,117,75,0.02,89.29,0.0,0.0,0.0
Alan Do Marcolino,GAB,['Rennes'],['FW'],3,19.0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0
Alan Matturro,URU,['Genoa'],['DF'],6,106.0,0,0,0,1,1,0.0,64.0,0.0,0.0,0.0
Alan Medina,MEX,"['FC Juárez', 'Mazatlán', 'León', 'Querétaro']","['MF,FW', 'FW,MF', 'MF,DF']",91,4781.0,8,5,0,96,61,0.11,72.05,0.0,0.0,0.0
Alan Minda,ECU,['Cercle Brugge'],"['FW,MF']",54,2812.0,8,7,0,18,11,0.11,68.19,0.0,0.0,0.0
Alan Mozo,MEX,['Guadalajara'],['DF'],85,6650.0,2,5,0,225,151,0.05,75.12,0.0,0.0,0.0
Alan Pulido,MEX,['Guadalajara'],['FW'],10,532.0,2,0,0,3,3,0.14,83.75,0.0,0.0,0.0
Alan Rodríguez,MEX,['Toluca'],['MF'],14,169.0,0,0,0,7,1,0.0,83.1,0.0,0.0,0.0
Alan Ruiz,MEX,"['Arouca', 'Estrela', 'Tijuana']","['MF,FW', 'MF', 'DF']",59,4030.0,4,4,1,72,45,0.05,74.57,0.0,0.0,0.0
Alan Soñora,USA,['FC Juárez'],"['MF,FW']",8,331.0,0,1,0,6,3,0.0,79.14,0.0,0.0,0.0
Alan Torres,MEX,"['Mazatlán', 'Guadalajara']",['MF'],44,1885.0,0,1,0,31,15,0.0,87.41,0.0,0.0,0.0
Alan Varela,ARG,['Porto'],['MF'],61,4423.0,2,5,0,76,40,0.04,87.16,0.0,0.0,0.0
Alan Virginius,FRA,"['Clermont Foot', 'Lille']",['FW'],31,1263.0,1,2,0,13,8,0.05,69.1,0.0,0.0,0.0
Alan Zubiri,MEX,['Cruz Azul'],['DF'],1,90.0,0,0,0,1,1,0.0,93.33,0.0,0.0,0.0
Alassane Pléa,FRA,['Gladbach'],"['FW,MF', 'FW']",56,3687.0,9,13,2,33,15,0.11,69.62,0.0,0.0,0.0
Alban Lafont,FRA,['Nantes'],['GK'],65,5825.0,0,0,0,0,0,0.0,70.78,68.69,27.69,0.0
Albert Grønbaek,DEN,['Genoa'],['FW'],1,59.0,0,0,0,0,0,0.0,73.33,0.0,0.0,0.0
Albert Guðmundsson,ISL,"['Genoa', 'Fiorentina']","['MF,FW', 'FW,MF']",38,3242.0,14,5,4,23,10,0.26,75.39,0.0,0.0,0.0
Albert Lottin,FRA,['Utrecht'],['MF'],1,16.0,0,0,0,0,0,0.0,71.43,0.0,0.0,0.0
